host_since,neighbourhood,city,accommodates,price
3/25/2011,Gobelins,Paris,2,69
4/29/2015,Observatoire,Paris,2,99
5/14/2013,Luxembourg,Paris,2,159
11/11/2014,Buttes-Montmartre,Paris,2,80
3/27/2014,Observatoire,Paris,2,60
8/3/2014,Buttes-Montmartre,Paris,2,50
7/21/2015,Reuilly,Paris,2,65
8/5/2014,Enclos-St-Laurent,Paris,2,45
3/1/2012,Popincourt,Paris,2,115
6/22/2014,Pantheon,Paris,2,60
8/5/2015,Enclos-St-Laurent,Paris,2,41
9/25/2013,Enclos-St-Laurent,Paris,2,125
9/18/2012,Buttes-Montmartre,Paris,2,100
9/17/2015,Enclos-St-Laurent,Paris,2,73
7/30/2015,Vaugirard,Paris,2,69
3/15/2016,Vaugirard,Paris,2,115
10/21/2014,Luxembourg,Paris,2,90
4/8/2013,Reuilly,Paris,2,57
7/21/2015,Vaugirard,Paris,2,60
4/8/2016,Menilmontant,Paris,2,48
1/31/2014,Pantheon,Paris,2,75
5/17/2015,Vaugirard,Paris,2,90
5/9/2016,Passy,Paris,2,80
5/31/2016,Menilmontant,Paris,2,50
8/7/2013,Reuilly,Paris,2,80
5/6/2015,Popincourt,Paris,2,80
7/28/2014,Buttes-Montmartre,Paris,2,110
10/30/2013,Popincourt,Paris,2,65
7/24/2015,Buttes-Montmartre,Paris,2,85
3/1/2015,Pantheon,Paris,2,90
6/14/2016,Luxembourg,Paris,2,102
10/4/2016,Buttes-Montmartre,Paris,2,44
3/20/2014,Observatoire,Paris,2,88
10/2/2016,Palais-Bourbon,Paris,2,40
5/6/2013,Enclos-St-Laurent,Paris,2,90
